DBN,School Name,Year,Total Enrollment,Grade PK (Half Day & Full Day),Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,# Female,% Female,# Male,% Male,# Asian,% Asian,# Black,% Black,# Hispanic,% Hispanic,# Multiple Race Categories Not Represented,% Multiple Race Categories Not Represented,# White,% White,# Students with Disabilities,% Students with Disabilities,# English Language Learners,% English Language Learners,# Poverty,% Poverty,Economic Need Index
06M293,City College Academy of the Arts,2016-17,598,0,0,0,0,0,0,0,86,92,78,96,84,86,76,329,55.0%,269,45.0%,3,0.5%,21,3.5%,557,93.1%,2,0.3%,15,2.5%,85,14.2%,32,5.4%,463,77.4%,72.1%
06M293,City College Academy of the Arts,2017-18,602,0,0,0,0,0,0,0,89,79,89,91,93,76,85,329,54.7%,273,45.3%,9,1.5%,21,3.5%,550,91.4%,4,0.7%,18,3.0%,88,14.6%,33,5.5%,497,82.6%,80.9%
06M311,Amistad Dual Language School,2013-14,432,0,50,53,48,50,45,48,51,47,40,0,0,0,0,237,54.9%,195,45.1%,8,1.9%,7,1.6%,377,87.3%,5,1.2%,35,8.1%,60,13.9%,100,23.1%,333,77.1%,
06M311,Amistad Dual Language School,2014-15,428,0,50,50,47,45,51,43,59,39,44,0,0,0,0,236,55.1%,192,44.9%,8,1.9%,6,1.4%,387,90.4%,1,0.2%,26,6.1%,56,13.1%,95,22.2%,330,77.1%,68.4%
06M311,Amistad Dual Language School,2015-16,431,0,50,50,49,49,51,45,38,50,49,0,0,0,0,237,55.0%,194,45.0%,8,1.9%,5,1.2%,394,91.4%,1,0.2%,23,5.3%,62,14.4%,96,22.3%,335,77.7%,67.0%
06M311,Amistad Dual Language School,2016-17,423,0,50,50,49,43,47,50,46,36,52,0,0,0,0,219,51.8%,204,48.2%,6,1.4%,5,1.2%,389,92.0%,3,0.7%,20,4.7%,59,13.9%,103,24.3%,336,79.4%,67.6%
06M311,Amistad Dual Language School,2017-18,395,0,49,37,47,49,42,43,49,43,36,0,0,0,0,209,52.9%,186,47.1%,6,1.5%,6,1.5%,363,91.9%,3,0.8%,17,4.3%,52,13.2%,100,25.3%,320,81.0%,75.6%
06M314,Muscota,2013-14,258,0,48,47,43,48,41,31,0,0,0,0,0,0,0,137,53.1%,121,46.9%,12,4.7%,17,6.6%,131,50.8%,7,2.7%,91,35.3%,39,15.1%,18,7.0%,97,37.6%,
06M314,Muscota,2014-15,259,0,49,49,47,41,41,32,0,0,0,0,0,0,0,139,53.7%,120,46.3%,13,5.0%,13,5.0%,127,49.0%,10,3.9%,96,37.1%,33,12.7%,16,6.2%,88,34.0%,38.6%
06M314,Muscota,2015-16,270,0,50,51,51,48,34,36,0,0,0,0,0,0,0,140,51.9%,130,48.1%,11,4.1%,9,3.3%,123,45.6%,14,5.2%,113,41.9%,32,11.9%,12,4.4%,94,34.8%,36.3%
06M314,Muscota,2016-17,281,0,48,51,50,52,47,33,0,0,0,0,0,0,0,145,51.6%,136,48.4%,16,5.7%,6,2.1%,119,42.3%,17,6.0%,123,43.8%,38,13.5%,14,5.0%,72,25.6%,35.8%
06M314,Muscota,2017-18,292,0,49,51,51,47,48,46,0,0,0,0,0,0,0,149,51.0%,143,49.0%,13,4.5%,6,2.1%,127,43.5%,21,7.2%,125,42.8%,44,15.1%,18,6.2%,74,25.3%,38.9%
06M319,M.S. 319 - Maria Teresa,2013-14,637,0,0,0,0,0,0,0,187,217,233,0,0,0,0,302,47.4%,335,52.6%,3,0.5%,31,4.9%,597,93.7%,1,0.2%,5,0.8%,113,17.7%,218,34.2%,615,96.5%,
06M319,M.S. 319 - Maria Teresa,2014-15,615,0,0,0,0,0,0,0,210,191,214,0,0,0,0,291,47.3%,324,52.7%,2,0.3%,32,5.2%,572,93.0%,1,0.2%,8,1.3%,115,18.7%,198,32.2%,581,94.5%,82.1%
06M319,M.S. 319 - Maria Teresa,2015-16,534,0,0,0,0,0,0,0,149,199,186,0,0,0,0,259,48.5%,275,51.5%,2,0.4%,28,5.2%,496,92.9%,1,0.2%,7,1.3%,103,19.3%,164,30.7%,469,87.8%,81.6%
06M319,M.S. 319 - Maria Teresa,2016-17,471,0,0,0,0,0,0,0,132,144,195,0,0,0,0,222,47.1%,249,52.9%,1,0.2%,23,4.9%,437,92.8%,1,0.2%,9,1.9%,107,22.7%,151,32.1%,440,93.4%,79.1%
06M319,M.S. 319 - Maria Teresa,2017-18,418,0,0,0,0,0,0,0,151,120,147,0,0,0,0,191,45.7%,227,54.3%,1,0.2%,18,4.3%,394,94.3%,0,0.0%,5,1.2%,97,23.2%,156,37.3%,409,97.8%,89.2%
06M322,Middle School 322,2013-14,380,0,0,0,0,0,0,0,90,141,149,0,0,0,0,184,48.4%,196,51.6%,5,1.3%,6,1.6%,361,95.0%,0,0.0%,8,2.1%,68,17.9%,181,47.6%,361,95.0%,
06M322,Middle School 322,2014-15,323,0,0,0,0,0,0,0,87,104,132,0,0,0,0,154,47.7%,169,52.3%,2,0.6%,6,1.9%,308,95.4%,3,0.9%,4,1.2%,53,16.4%,164,50.8%,296,91.6%,84.2%
06M322,Middle School 322,2015-16,319,0,0,0,0,0,0,0,104,101,114,0,0,0,0,150,47.0%,169,53.0%,1,0.3%,10,3.1%,303,95.0%,1,0.3%,4,1.3%,67,21.0%,162,50.8%,293,91.8%,83.7%
06M322,Middle School 322,2016-17,321,0,0,0,0,0,0,0,105,111,105,0,0,0,0,156,48.6%,165,51.4%,2,0.6%,12,3.7%,301,93.8%,1,0.3%,5,1.6%,65,20.2%,134,41.7%,296,92.2%,84.9%
06M322,Middle School 322,2017-18,310,0,0,0,0,0,0,0,74,115,121,0,0,0,0,157,50.6%,153,49.4%,2,0.6%,10,3.2%,293,94.5%,0,0.0%,5,1.6%,64,20.6%,121,39.0%,287,92.6%,90.0%
06M324,M.S. 324 - Patria Mirabal,2013-14,450,0,0,0,0,0,0,0,130,162,158,0,0,0,0,215,47.8%,235,52.2%,8,1.8%,48,10.7%,384,85.3%,1,0.2%,9,2.0%,109,24.2%,158,35.1%,418,92.9%,
06M324,M.S. 324 - Patria Mirabal,2014-15,476,0,0,0,0,0,0,0,151,161,164,0,0,0,0,220,46.2%,256,53.8%,8,1.7%,49,10.3%,404,84.9%,2,0.4%,13,2.7%,115,24.2%,162,34.0%,403,84.7%,76.7%
06M324,M.S. 324 - Patria Mirabal,2015-16,449,0,0,0,0,0,0,0,124,161,164,0,0,0,0,220,49.0%,229,51.0%,7,1.6%,48,10.7%,380,84.6%,2,0.4%,12,2.7%,108,24.1%,122,27.2%,385,85.7%,71.6%
06M324,M.S. 324 - Patria Mirabal,2016-17,423,0,0,0,0,0,0,0,118,142,163,0,0,0,0,209,49.4%,214,50.6%,2,0.5%,50,11.8%,360,85.1%,1,0.2%,10,2.4%,107,25.3%,132,31.2%,378,89.4%,73.6%
06M324,M.S. 324 - Patria Mirabal,2017-18,399,0,0,0,0,0,0,0,116,132,151,0,0,0,0,199,49.9%,200,50.1%,2,0.5%,48,12.0%,336,84.2%,2,0.5%,11,2.8%,108,27.1%,137,34.3%,361,90.5%,87.0%
06M328,Community Math & Science Prep,2013-14,292,0,0,0,0,0,0,0,64,106,122,0,0,0,0,95,32.5%,197,67.5%,1,0.3%,33,11.3%,255,87.3%,0,0.0%,3,1.0%,60,20.5%,116,39.7%,287,98.3%,
06M328,Community Math & Science Prep,2014-15,213,0,0,0,0,0,0,0,49,67,97,0,0,0,0,83,39.0%,130,61.0%,1,0.5%,31,14.6%,180,84.5%,0,0.0%,1,0.5%,52,24.4%,80,37.6%,199,93.4%,80.3%
06M328,Community Math & Science Prep,2015-16,148,0,0,0,0,0,0,0,33,47,68,0,0,0,0,51,34.5%,97,65.5%,2,1.4%,18,12.2%,126,85.1%,0,0.0%,2,1.4%,51,34.5%,54,36.5%,145,98.0%,81.1%
06M328,Community Math & Science Prep,2016-17,246,0,0,0,0,0,0,0,54,88,104,0,0,0,0,105,42.7%,141,57.3%,6,2.4%,38,15.4%,200,81.3%,0,0.0%,2,0.8%,80,32.5%,118,48.0%,232,94.3%,76.9%
06M328,Community Math & Science Prep,2017-18,229,0,0,0,0,0,0,0,58,79,92,0,0,0,0,98,42.8%,131,57.2%,9,3.9%,29,12.7%,189,82.5%,1,0.4%,1,0.4%,82,35.8%,116,50.7%,227,99.1%,92.9%
06M346,Community Health Academy of the Heights,2013-14,600,0,0,0,0,0,0,0,98,75,66,117,110,67,67,299,49.8%,301,50.2%,1,0.2%,40,6.7%,549,91.5%,2,0.3%,8,1.3%,116,19.3%,174,29.0%,553,92.2%,
06M346,Community Health Academy of the Heights,2014-15,629,0,0,0,0,0,0,0,84,102,78,101,95,95,74,317,50.4%,312,49.6%,1,0.2%,37,5.9%,576,91.6%,2,0.3%,13,2.1%,124,19.7%,155,24.6%,567,90.1%,84.5%
06M346,Community Health Academy of the Heights,2015-16,645,0,0,0,0,0,0,0,93,83,97,95,95,85,97,326,50.5%,319,49.5%,4,0.6%,44,6.8%,585,90.7%,4,0.6%,8,1.2%,129,20.0%,126,19.5%,597,92.6%,81.8%
06M346,Community Health Academy of the Heights,2016-17,663,0,0,0,0,0,0,0,96,92,90,99,101,100,85,331,49.9%,332,50.1%,6,0.9%,52,7.8%,593,89.4%,5,0.8%,7,1.1%,122,18.4%,113,17.0%,612,92.3%,81.1%
06M346,Community Health Academy of the Heights,2017-18,703,0,0,0,0,0,0,0,92,99,94,111,101,98,108,345,49.1%,358,50.9%,6,0.9%,46,6.5%,638,90.8%,2,0.3%,11,1.6%,133,18.9%,122,17.4%,654,93.0%,89.1%
06M348,Washington Heights Expeditionary Learning School,2013-14,650,0,0,0,0,0,0,0,89,93,84,104,84,91,105,279,42.9%,371,57.1%,2,0.3%,11,1.7%,632,97.2%,3,0.5%,2,0.3%,129,19.8%,106,16.3%,525,80.8%,
06M348,Washington Heights Expeditionary Learning School,2014-15,705,27,42,0,0,0,0,0,84,89,96,107,99,77,84,310,44.0%,395,56.0%,4,0.6%,22,3.1%,664,94.2%,2,0.3%,13,1.8%,139,19.7%,125,17.7%,540,76.6%,81.7%
06M348,Washington Heights Expeditionary Learning School,2015-16,760,31,37,44,0,0,0,0,87,82,89,120,102,91,77,332,43.7%,428,56.3%,4,0.5%,25,3.3%,716,94.2%,2,0.3%,13,1.7%,156,20.5%,130,17.1%,558,73.4%,80.1%
06M348,Washington Heights Expeditionary Learning School,2016-17,806,32,37,35,38,0,0,0,86,89,84,103,123,88,91,358,44.4%,448,55.6%,8,1.0%,32,4.0%,741,91.9%,3,0.4%,22,2.7%,169,21.0%,140,17.4%,568,70.5%,78.3%
06M348,Washington Heights Expeditionary Learning School,2017-18,815,31,37,36,32,38,0,0,84,87,87,94,108,95,86,375,46.0%,440,54.0%,7,0.9%,28,3.4%,747,91.7%,5,0.6%,28,3.4%,168,20.6%,126,15.5%,622,76.3%,83.2%
06M349,Harbor Heights,2013-14,161,0,0,0,0,0,0,0,45,52,64,0,0,0,0,79,49.1%,82,50.9%,0,0.0%,0,0.0%,161,100.0%,0,0.0%,0,0.0%,4,2.5%,158,98.1%,161,100.0%,
06M349,Harbor Heights,2014-15,137,0,0,0,0,0,0,0,23,49,65,0,0,0,0,57,41.6%,80,58.4%,0,0.0%,0,0.0%,137,100.0%,0,0.0%,0,0.0%,1,0.7%,132,96.4%,135,98.5%,84.6%
06M349,Harbor Heights,2015-16,137,0,0,0,0,0,0,0,39,39,59,0,0,0,0,57,41.6%,80,58.4%,0,0.0%,0,0.0%,137,100.0%,0,0.0%,0,0.0%,1,0.7%,125,91.2%,126,92.0%,83.2%
06M349,Harbor Heights,2016-17,155,0,0,0,0,0,0,0,34,56,65,0,0,0,0,74,47.7%,81,52.3%,0,0.0%,0,0.0%,154,99.4%,1,0.6%,0,0.0%,1,0.6%,139,89.7%,149,96.1%,75.0%
06M349,Harbor Heights,2017-18,129,0,0,0,0,0,0,0,27,38,64,0,0,0,0,65,50.4%,64,49.6%,0,0.0%,0,0.0%,129,100.0%,0,0.0%,0,0.0%,0,0.0%,110,85.3%,127,98.4%,92.6%
06M366,Washington Heights Academy,2013-14,425,71,56,58,62,58,69,51,0,0,0,0,0,0,0,228,53.6%,197,46.4%,5,1.2%,4,0.9%,398,93.6%,7,1.6%,11,2.6%,49,11.5%,86,20.2%,383,90.1%,
06M366,Washington Heights Academy,2014-15,473,54,55,56,58,58,63,73,56,0,0,0,0,0,0,261,55.2%,212,44.8%,11,2.3%,11,2.3%,433,91.5%,5,1.1%,13,2.7%,64,13.5%,85,18.0%,413,87.3%,74.9%
06M366,Washington Heights Academy,2015-16,511,53,46,67,61,59,61,51,62,51,0,0,0,0,0,287,56.2%,224,43.8%,9,1.8%,6,1.2%,481,94.1%,6,1.2%,9,1.8%,78,15.3%,86,16.8%,448,87.7%,74.8%
06M366,Washington Heights Academy,2016-17,563,53,50,57,68,61,56,54,55,59,50,0,0,0,0,317,56.3%,246,43.7%,13,2.3%,9,1.6%,522,92.7%,6,1.1%,13,2.3%,78,13.9%,94,16.7%,504,89.5%,74.1%
06M366,Washington Heights Academy,2017-18,571,51,51,59,59,60,63,53,64,56,55,0,0,0,0,312,54.6%,259,45.4%,11,1.9%,10,1.8%,536,93.9%,4,0.7%,10,1.8%,89,15.6%,73,12.8%,511,89.5%,81.0%
06M368,Hamilton Heights School,2013-14,246,0,45,43,35,43,39,41,0,0,0,0,0,0,0,115,46.7%,131,53.3%,15,6.1%,59,24.0%,144,58.5%,3,1.2%,25,10.2%,23,9.3%,53,21.5%,202,82.1%,
06M368,Hamilton Heights School,2014-15,227,0,42,41,40,31,49,24,0,0,0,0,0,0,0,97,42.7%,130,57.3%,11,4.8%,57,25.1%,129,56.8%,4,1.8%,26,11.5%,24,10.6%,46,20.3%,182,80.2%,72.1%
06M368,Hamilton Heights School,2015-16,216,0,40,32,37,39,28,40,0,0,0,0,0,0,0,97,44.9%,119,55.1%,11,5.1%,42,19.4%,125,57.9%,6,2.8%,32,14.8%,27,12.5%,35,16.2%,167,77.3%,66.5%
06M368,Hamilton Heights School,2016-17,202,0,31,41,35,37,35,23,0,0,0,0,0,0,0,93,46.0%,109,54.0%,7,3.5%,40,19.8%,114,56.4%,10,5.0%,31,15.3%,30,14.9%,37,18.3%,143,70.8%,64.6%
06M368,Hamilton Heights School,2017-18,171,0,15,23,34,35,30,34,0,0,0,0,0,0,0,82,48.0%,89,52.0%,7,4.1%,34,19.9%,91,53.2%,11,6.4%,28,16.4%,29,17.0%,28,16.4%,120,70.2%,74.3%
06M423,High School for Excellence and Innovation,2013-14,223,0,0,0,0,0,0,0,0,0,0,77,72,38,36,108,48.4%,115,51.6%,0,0.0%,65,29.1%,154,69.1%,3,1.3%,1,0.4%,78,35.0%,38,17.0%,201,90.1%,
06M423,High School for Excellence and Innovation,2014-15,229,0,0,0,0,0,0,0,0,0,0,67,87,41,34,101,44.1%,128,55.9%,1,0.4%,55,24.0%,172,75.1%,1,0.4%,0,0.0%,68,29.7%,48,21.0%,209,91.3%,81.6%
06M423,High School for Excellence and Innovation,2015-16,216,0,0,0,0,0,0,0,0,0,0,56,78,36,46,102,47.2%,114,52.8%,1,0.5%,40,18.5%,172,79.6%,1,0.5%,2,0.9%,66,30.6%,59,27.3%,183,84.7%,78.5%
06M423,High School for Excellence and Innovation,2016-17,221,0,0,0,0,0,0,0,0,0,0,41,74,62,44,110,49.8%,111,50.2%,2,0.9%,26,11.8%,190,86.0%,1,0.5%,2,0.9%,60,27.1%,87,39.4%,195,88.2%,79.3%
06M423,High School for Excellence and Innovation,2017-18,201,0,0,0,0,0,0,0,0,0,0,33,51,28,89,89,44.3%,112,55.7%,1,0.5%,21,10.4%,175,87.1%,1,0.5%,3,1.5%,43,21.4%,95,47.3%,182,90.5%,93.7%
06M462,The College Academy,2013-14,546,0,0,0,0,0,0,0,0,0,0,116,121,142,167,194,35.5%,352,64.5%,2,0.4%,32,5.9%,501,91.8%,3,0.5%,8,1.5%,102,18.7%,271,49.6%,516,94.5%,
06M462,The College Academy,2014-15,491,0,0,0,0,0,0,0,0,0,0,113,108,111,159,190,38.7%,301,61.3%,1,0.2%,44,9.0%,437,89.0%,4,0.8%,5,1.0%,103,21.0%,218,44.4%,480,97.8%,86.8%
06M462,The College Academy,2015-16,477,0,0,0,0,0,0,0,0,0,0,132,122,104,119,186,39.0%,291,61.0%,1,0.2%,53,11.1%,413,86.6%,4,0.8%,6,1.3%,102,21.4%,204,42.8%,463,97.1%,84.1%
06M462,The College Academy,2016-17,459,0,0,0,0,0,0,0,0,0,0,93,134,110,122,184,40.1%,275,59.9%,3,0.7%,51,11.1%,396,86.3%,4,0.9%,5,1.1%,93,20.3%,205,44.7%,448,97.6%,83.4%
06M462,The College Academy,2017-18,460,0,0,0,0,0,0,0,0,0,0,106,105,123,126,181,39.3%,279,60.7%,0,0.0%,43,9.3%,408,88.7%,3,0.7%,6,1.3%,79,17.2%,222,48.3%,440,95.7%,90.7%
06M463,High School for Media and Communications,2013-14,523,0,0,0,0,0,0,0,0,0,0,196,144,84,99,206,39.4%,317,60.6%,10,1.9%,72,13.8%,429,82.0%,6,1.1%,6,1.1%,109,20.8%,174,33.3%,472,90.2%,
06M463,High School for Media and Communications,2014-15,479,0,0,0,0,0,0,0,0,0,0,182,105,109,83,207,43.2%,272,56.8%,10,2.1%,68,14.2%,394,82.3%,3,0.6%,4,0.8%,95,19.8%,162,33.8%,435,90.8%,84.3%
06M463,High School for Media and Communications,2015-16,427,0,0,0,0,0,0,0,0,0,0,151,107,74,95,185,43.3%,242,56.7%,7,1.6%,61,14.3%,352,82.4%,2,0.5%,5,1.2%,84,19.7%,159,37.2%,395,92.5%,83.8%
06M463,High School for Media and Communications,2016-17,409,0,0,0,0,0,0,0,0,0,0,129,114,90,76,178,43.5%,231,56.5%,5,1.2%,49,12.0%,351,85.8%,1,0.2%,3,0.7%,72,17.6%,162,39.6%,388,94.9%,86.2%
06M463,High School for Media and Communications,2017-18,408,0,0,0,0,0,0,0,0,0,0,121,109,88,90,193,47.3%,215,52.7%,4,1.0%,46,11.3%,350,85.8%,1,0.2%,7,1.7%,61,15.0%,193,47.3%,371,90.9%,92.7%
06M467,High School for Law and Public Service,2013-14,679,0,0,0,0,0,0,0,0,0,0,225,194,130,130,294,43.3%,385,56.7%,7,1.0%,112,16.5%,546,80.4%,3,0.4%,11,1.6%,140,20.6%,187,27.5%,527,77.6%,
06M467,High School for Law and Public Service,2014-15,671,0,0,0,0,0,0,0,0,0,0,227,187,134,123,285,42.5%,386,57.5%,3,0.4%,113,16.8%,544,81.1%,2,0.3%,9,1.3%,139,20.7%,184,27.4%,526,78.4%,81.2%
06M467,High School for Law and Public Service,2015-16,615,0,0,0,0,0,0,0,0,0,0,182,186,126,121,286,46.5%,329,53.5%,2,0.3%,100,16.3%,500,81.3%,1,0.2%,12,2.0%,135,22.0%,166,27.0%,471,76.6%,82.5%
06M467,High School for Law and Public Service,2016-17,593,0,0,0,0,0,0,0,0,0,0,182,165,137,109,287,48.4%,306,51.6%,3,0.5%,87,14.7%,491,82.8%,2,0.3%,10,1.7%,132,22.3%,188,31.7%,463,78.1%,81.3%
06M467,High School for Law and Public Service,2017-18,544,0,0,0,0,0,0,0,0,0,0,158,151,105,130,253,46.5%,291,53.5%,4,0.7%,75,13.8%,455,83.6%,1,0.2%,9,1.7%,129,23.7%,204,37.5%,484,89.0%,91.6%
06M468,High School for Health Careers and Sciences,2013-14,624,0,0,0,0,0,0,0,0,0,0,201,177,113,133,296,47.4%,328,52.6%,7,1.1%,113,18.1%,488,78.2%,8,1.3%,8,1.3%,108,17.3%,168,26.9%,584,93.6%,
06M468,High School for Health Careers and Sciences,2014-15,605,0,0,0,0,0,0,0,0,0,0,200,178,126,101,278,46.0%,327,54.0%,9,1.5%,99,16.4%,482,79.7%,8,1.3%,7,1.2%,110,18.2%,186,30.7%,595,98.3%,84.3%
06M468,High School for Health Careers and Sciences,2015-16,526,0,0,0,0,0,0,0,0,0,0,146,153,109,118,243,46.2%,283,53.8%,11,2.1%,68,12.9%,437,83.1%,5,1.0%,5,1.0%,82,15.6%,182,34.6%,514,97.7%,85.3%
06M468,High School for Health Careers and Sciences,2016-17,460,0,0,0,0,0,0,0,0,0,0,153,113,108,86,223,48.5%,237,51.5%,7,1.5%,62,13.5%,378,82.2%,9,2.0%,4,0.9%,71,15.4%,175,38.0%,446,97.0%,85.2%
06M468,High School for Health Careers and Sciences,2017-18,463,0,0,0,0,0,0,0,0,0,0,151,130,88,94,226,48.8%,237,51.2%,11,2.4%,69,14.9%,372,80.3%,8,1.7%,3,0.6%,88,19.0%,177,38.2%,448,96.8%,93.2%
06M513,Castle Bridge School,2013-14,119,21,32,45,21,0,0,0,0,0,0,0,0,0,0,58,48.7%,61,51.3%,5,4.2%,16,13.4%,63,52.9%,9,7.6%,26,21.8%,30,25.2%,17,14.3%,61,51.3%,
06M513,Castle Bridge School,2014-15,152,17,34,35,43,23,0,0,0,0,0,0,0,0,0,74,48.7%,78,51.3%,6,3.9%,17,11.2%,93,61.2%,4,2.6%,32,21.1%,38,25.0%,29,19.1%,74,48.7%,55.5%
06M513,Castle Bridge School,2015-16,193,18,35,38,29,49,24,0,0,0,0,0,0,0,0,100,51.8%,93,48.2%,4,2.1%,21,10.9%,124,64.2%,4,2.1%,40,20.7%,57,29.5%,31,16.1%,114,59.1%,56.6%
06M513,Castle Bridge School,2016-17,227,18,37,35,33,36,44,24,0,0,0,0,0,0,0,115,50.7%,112,49.3%,4,1.8%,24,10.6%,147,64.8%,7,3.1%,45,19.8%,72,31.7%,61,26.9%,139,61.2%,58.1%
06M513,Castle Bridge School,2017-18,229,18,33,44,25,36,30,43,0,0,0,0,0,0,0,123,53.7%,106,46.3%,4,1.7%,23,10.0%,151,65.9%,10,4.4%,41,17.9%,77,33.6%,69,30.1%,151,65.9%,69.0%
06M528,I.S. 528 Bea Fuller Rodgers School,2013-14,226,0,0,0,0,0,0,0,68,73,85,0,0,0,0,124,54.9%,102,45.1%,1,0.4%,4,1.8%,220,97.3%,0,0.0%,1,0.4%,50,22.1%,34,15.0%,221,97.8%,
06M528,I.S. 528 Bea Fuller Rodgers School,2014-15,197,0,0,0,0,0,0,0,59,67,71,0,0,0,0,113,57.4%,84,42.6%,1,0.5%,4,2.0%,190,96.4%,0,0.0%,2,1.0%,47,23.9%,35,17.8%,193,98.0%,84.8%
06M528,I.S. 528 Bea Fuller Rodgers School,2015-16,206,0,0,0,0,0,0,0,78,60,68,0,0,0,0,110,53.4%,96,46.6%,2,1.0%,4,1.9%,199,96.6%,0,0.0%,1,0.5%,46,22.3%,40,19.4%,199,96.6%,82.5%
06M528,I.S. 528 Bea Fuller Rodgers School,2016-17,199,0,0,0,0,0,0,0,61,77,61,0,0,0,0,112,56.3%,87,43.7%,2,1.0%,4,2.0%,192,96.5%,0,0.0%,1,0.5%,38,19.1%,45,22.6%,190,95.5%,80.4%
06M528,I.S. 528 Bea Fuller Rodgers School,2017-18,224,0,0,0,0,0,0,0,95,53,76,0,0,0,0,128,57.1%,96,42.9%,1,0.4%,3,1.3%,220,98.2%,0,0.0%,0,0.0%,39,17.4%,55,24.6%,215,96.0%,87.1%
06M540,A. Philip Randolph Campus High School,2013-14,1360,0,0,0,0,0,0,0,0,0,0,499,376,235,250,679,49.9%,681,50.1%,64,4.7%,430,31.6%,830,61.0%,20,1.5%,16,1.2%,133,9.8%,74,5.4%,1098,80.7%,
06M540,A. Philip Randolph Campus High School,2014-15,1354,0,0,0,0,0,0,0,0,0,0,484,395,270,205,655,48.4%,699,51.6%,67,4.9%,431,31.8%,810,59.8%,25,1.8%,21,1.6%,191,14.1%,93,6.9%,1176,86.9%,75.8%
06M540,A. Philip Randolph Campus High School,2015-16,1438,0,0,0,0,0,0,0,0,0,0,575,322,291,250,711,49.4%,727,50.6%,78,5.4%,429,29.8%,873,60.7%,35,2.4%,23,1.6%,199,13.8%,143,9.9%,1194,83.0%,77.0%
06M540,A. Philip Randolph Campus High School,2016-17,1447,0,0,0,0,0,0,0,0,0,0,576,396,223,252,717,49.6%,730,50.4%,77,5.3%,424,29.3%,872,60.3%,38,2.6%,36,2.5%,200,13.8%,183,12.6%,1190,82.2%,77.4%
06M540,A. Philip Randolph Campus High School,2017-18,1375,0,0,0,0,0,0,0,0,0,0,600,308,265,202,705,51.3%,669,48.7%,66,4.8%,386,28.1%,857,62.3%,37,2.7%,29,2.1%,199,14.5%,205,14.9%,1178,85.7%,86.6%
06M552,Gregorio Luperon High School for Science and Mathe,2013-14,491,0,0,0,0,0,0,0,0,0,0,95,172,121,103,265,54.0%,226,46.0%,0,0.0%,1,0.2%,490,99.8%,0,0.0%,0,0.0%,7,1.4%,442,90.0%,483,98.4%,
06M552,Gregorio Luperon High School for Science and Mathe,2014-15,504,0,0,0,0,0,0,0,0,0,0,107,167,125,105,282,56.0%,222,44.0%,0,0.0%,0,0.0%,504,100.0%,0,0.0%,0,0.0%,8,1.6%,420,83.3%,497,98.6%,94.8%
06M552,Gregorio Luperon High School for Science and Mathe,2015-16,503,0,0,0,0,0,0,0,0,0,0,122,167,116,98,269,53.5%,234,46.5%,0,0.0%,0,0.0%,503,100.0%,0,0.0%,0,0.0%,7,1.4%,345,68.6%,499,99.2%,94.3%
06M552,Gregorio Luperon High School for Science and Mathe,2016-17,508,0,0,0,0,0,0,0,0,0,0,139,166,103,100,277,54.5%,231,45.5%,0,0.0%,0,0.0%,508,100.0%,0,0.0%,0,0.0%,10,2.0%,342,67.3%,469,92.3%,94.4%
06M552,Gregorio Luperon High School for Science and Mathe,2017-18,524,0,0,0,0,0,0,0,0,0,0,117,134,144,129,283,54.0%,241,46.0%,0,0.0%,0,0.0%,524,100.0%,0,0.0%,0,0.0%,12,2.3%,356,67.9%,472,90.1%,98.9%
07X001,P.S. 001 Courtlandt School,2013-14,685,36,99,115,120,111,103,101,0,0,0,0,0,0,0,339,49.5%,346,50.5%,3,0.4%,145,21.2%,515,75.2%,7,1.0%,15,2.2%,108,15.8%,168,24.5%,679,99.1%,
07X001,P.S. 001 Courtlandt School,2014-15,707,35,113,111,111,118,118,101,0,0,0,0,0,0,0,347,49.1%,360,50.9%,4,0.6%,155,21.9%,527,74.5%,3,0.4%,18,2.5%,112,15.8%,169,23.9%,693,98.0%,90.7%
07X001,P.S. 001 Courtlandt School,2015-16,686,34,111,108,108,101,107,117,0,0,0,0,0,0,0,339,49.4%,347,50.6%,3,0.4%,155,22.6%,508,74.1%,4,0.6%,16,2.3%,124,18.1%,174,25.4%,678,98.8%,89.0%
07X001,P.S. 001 Courtlandt School,2016-17,622,36,97,109,89,98,95,98,0,0,0,0,0,0,0,306,49.2%,316,50.8%,1,0.2%,141,22.7%,465,74.8%,1,0.2%,14,2.3%,127,20.4%,171,27.5%,615,98.9%,89.0%
07X001,P.S. 001 Courtlandt School,2017-18,663,65,103,105,96,91,103,100,0,0,0,0,0,0,0,324,48.9%,339,51.1%,3,0.5%,149,22.5%,501,75.6%,0,0.0%,10,1.5%,146,22.0%,187,28.2%,652,98.3%,95.9%
07X005,P.S. 5 Port Morris,2013-14,701,34,74,92,86,75,75,86,92,87,0,0,0,0,0,330,47.1%,371,52.9%,1,0.1%,179,25.5%,504,71.9%,10,1.4%,7,1.0%,153,21.8%,148,21.1%,658,93.9%,
07X005,P.S. 5 Port Morris,2014-15,799,34,72,68,91,81,78,88,99,97,91,0,0,0,0,381,47.7%,418,52.3%,1,0.1%,184,23.0%,590,73.8%,9,1.1%,15,1.9%,173,21.7%,177,22.2%,720,90.1%,89.3%
